abandoned adj.  1 deserted, forsaken. 2 unrestrained, profligate.
cole n.  (usu. In comb.) Cabbage. [latin caulis]
colleague n.  Fellow worker, esp. In a profession or business. [latin collega]
collector n.  1 person who collects things of interest. 2 person who collects money etc. Due.
college n.  1 establishment for further, higher, or professional education. 2 college premises (lived in college). 3 students and teachers in a college. 4 school. 5 organized body of persons with shared functions and privileges. [latin: related to *colleague]
cologne n.  Eau-de-cologne or similar toilet water. [abbreviation]
colony n.  (pl. -ies) 1 a settlement or settlers in a new country, fully or partly subject to the mother country. B their territory. 2 a people of one nationality, occupation, etc., esp. Forming a community in a city. B separate or segregated group (nudist colony). 3 group of animals, plants, etc., living close together. [latin colonia farm]
column n.  1 pillar, usu. Of circular section and with a base and capital. 2 column-shaped object. 3 vertical cylindrical mass of liquid or vapour. 4 vertical division of a printed page. 5 part of a newspaper etc. Regularly devoted to a particular subject.
combo n.  (pl. -s) slang small jazz or dance band. [abbreviation of *combination]
comedy n.  (pl. -ies) 1 a play, film, etc., of amusing character, usu. With a happy ending. B such works as a dramatic genre. 2 humour; amusing aspects.  comedic adj. [greek: related to *comic]
commander n.  1 person who commands, esp. A naval officer next below captain. 2 (in full knight commander) member of a higher class in some orders of knighthood.
commerce n.  Financial transactions, esp. Buying and selling; trading. [latin: related to *mercer]
commit v.  (-tt-) 1 do or make (a crime, blunder, etc.). 2 (usu. Foll. By to) entrust or consign for safe keeping or treatment. 3 send (a person) to prison. 4 pledge or bind (esp. Oneself) to a certain course or policy. 5 (as committed adj.) (often foll. By to) a dedicated. B obliged.  commit to memory memorize. Commit to paper write down. [latin committo -miss-]
committee n.  1 body of persons appointed for a special function by (and usu. Out of) a larger body. 2 (committee) house of commons sitting as a committee. [from *commit, *-ee]
commodity n.  (pl. -ies) article of trade, esp. A raw material or product as opposed to a service. [latin: related to *commode]
community n.  (pl. -ies) 1 body of people living in one place, district, or country. 2 body of people having religion, ethnic origin, profession, etc., in common. 3 fellowship (community of interest). 4 commune. 5 joint ownership or liability. [latin: related to *common]
companion n.  1 a person who accompanies or associates with another. B (foll. By in, of) partner, sharer. C person employed to live with and assist another. 2 handbook or reference book. 3 thing that matches another. 4 (companion) member of some orders of knighthood. [latin panis bread]
company n.  (pl. -ies) 1 a number of people assembled. B guest(s). 2 person's associate(s). 3 a commercial business. B partners in this. 4 actors etc. Working together. 5 subdivision of an infantry battalion. 6 body of people combined for a common purpose (the ship's company). 7 being with another or others.  in company with together with. Keep a person company remain with a person to be sociable. Part company (often foll. By with) cease to associate; separate; disagree. [french: related to *companion]
compete v.  (-ting) 1 take part in a contest etc. 2 (often foll. By with, against a person, for a thing) strive. [latin peto seek]
competent adj.  1 adequately qualified or capable. 2 effective.  competently adv. [latin: related to *compete]
compile v.  (-ling) 1 a collect and arrange (material) into a list, book, etc. B produce (a book etc.) Thus. 2 computing translate (a programming language) into machine code.  compilation n. [latin compilo plunder]
compiler n.  1 person who compiles. 2 computing program for translating a programming language into machine code.
complaint n.  1 complaining. 2 grievance, cause of dissatisfaction. 3 ailment. 4 formal accusation.
compliant adj.  Obedient; yielding.  compliantly adv.
comply v.  (-ies, -ied) (often foll. By with) act in accordance (with a request or command). [latin compleo fill up]
composer n.  Person who composes (esp. Music).
compute v.  (-ting) 1 reckon or calculate. 2 use a computer.  computation n. [latin puto reckon]
computer n.  Electronic device for storing and processing data, making calculations, or controlling machinery.
concept n.  General notion; abstract idea. [latin: related to *conceive]
concerned adj.  1 involved, interested. 2 troubled, anxious.  be concerned (often foll. By in) take part.  concernedly adv. Concernedness n.
concert n.  1 musical performance of usu. Several separate compositions. 2 agreement. 3 combination of voices or sounds. [italian: related to *concerto]
conclude v.  (-ding) 1 bring or come to an end. 2 (often foll. By from or that) infer. 3 settle (a treaty etc.). [latin concludo: related to *close1]
concord n.  Agreement, harmony.   concordant adj. [latin cor cord- heart]
confident adj.  Feeling or showing confidence; bold.  confidently adv. [italian: related to *confide]
confirm v.  1 provide support for the truth or correctness of. 2 (foll. By in) encourage (a person) in (an opinion etc.). 3 establish more firmly (power, possession, etc.). 4 make formally valid. 5 administer the religious rite of confirmation to.  [latin: related to *firm1]
confirmed adj.  Firmly settled in some habit or condition (confirmed bachelor).
confusion n.  Confusing or being confused.
congress n.  1 formal meeting of delegates for discussion. 2 (congress) national legislative body, esp. Of the us.  congressional adj. [latin gradior gress- walk]
connect v.  1 (often foll. By to, with) join (two things, or one thing with another). 2 be joined or joinable. 3 (often foll. By with) associate mentally or practically. 4 (foll. By with) (of a train etc.) Be timed to arrive with another, so passengers can transfer. 5 put into communication by telephone. 6 a (usu. In passive; foll. By with) associate with others in relationships etc. B be meaningful or relevant. 7 colloq. Hit or strike effectively. [latin necto nex- bind]
connector n.  Thing that connects.
consensus n.  (often foll. By of; often attrib.) General agreement or opinion. [latin: related to *consent]
consider v.  1 contemplate mentally, esp. In order to reach a conclusion. 2 examine the merits of. 3 look attentively at. 4 take into account; show consideration or regard for. 5 (foll. By that) have the opinion. 6 regard as. 7 (as considered adj.) Formed after careful thought (a considered opinion).  all things considered taking everything into account. [french from latin]
consist v.  1 (foll. By of) be composed; have as ingredients. 2 (foll. By in, of) have its essential features as specified. [latin sisto stop]
consult v.  1 seek information or advice from. 2 (often foll. By with) refer to a person for advice etc. 3 take into account (feelings, interests, etc.).  consultative adj. [latin consulo consult- take counsel]
consumer n.  1 person who consumes, esp. One who uses a product. 2 purchaser of goods or services.
contain v.  1 hold or be capable of holding within itself; include, comprise. 2 (of measures) be equal to (a gallon contains eight pints). 3 prevent from moving or extending. 4 control or restrain (feelings etc.). 5 (of a number) be divisible by (a factor) without a remainder. [latin teneo hold]
container n.  1 box, jar, etc., for holding things. 2 large metal box for transporting goods.
context n.  1 parts that surround a word or passage and clarify its meaning. 2 relevant circumstances.  in (or out of) context with (or without) the surrounding words or circumstances.  contextual adj. Contextualize v. (also -ise) (-zing or -sing). [latin: related to *text]
continue v.  (-ues, -ued, -uing) 1 maintain, not stop (an action etc.) (continued to read, reading). 2 (also absol.) Resume or prolong (a narrative, journey, etc.). 3 be a sequel to. 4 remain, stay (will continue as manager; weather continued fine). [latin: related to *contain]
cookbook n.  Us cookery book.
cookie n.  Us 1 sweet biscuit. 2 colloq. Person (a tough cookie). [dutch koekje]
cooler n.  1 vessel in which a thing is cooled. 2 us refrigerator. 3 slang prison cell.
cooper n.  Maker or repairer of casks, barrels, etc. [low german or dutch: related to *coop]
cordless adj.  (of a hand-held electrical device) usable without a power cable because working from an internal source of energy or battery.
corporate adj.  1 forming a corporation. 2 of, belonging to, or united in a group. [latin: related to *corporal2]
corps n.  (pl. Corps) 1 a body of troops with special duties (intelligence corps). B main subdivision of an army in the field. 2 body of people engaged in a special activity (diplomatic corps). [french: related to *corpse]
corpus n.  (pl. -pora) body or collection of writings, texts, etc. [latin, = body]
cottage n.  Small simple house, esp. In the country. [anglo-french: related to *cot2]
cotton n.  1 soft white fibrous substance covering the seeds of certain plants. 2 such a plant. 3 thread or cloth from this.  cotton on (often foll. By to) colloq. Begin to understand. [french from arabic]
council n.  1 a advisory, deliberative, or administrative body. B meeting of such a body. 2 a local administrative body of a parish, district, town, etc. B (attrib.) Provided by a local council (council flat). [latin concilium]
country n.  (pl. -ies) 1 territory of a nation; state. 2 (often attrib.) Rural districts as opposed to towns or the capital. 3 land of a person's birth or citizenship. 4 region with regard to its aspect, associations, etc. (mountainous country; hardy country). 5 national population, esp. As voters. [medieval latin contrata (terra) (land) lying opposite]
coupon n.  1 form etc. As an application for a purchase etc. 2 entry form for a football pool or other competition. 3 discount voucher given with a purchase. [french couper cut]
courage n.  Ability to disregard fear; bravery.  courage of one's convictions courage to act on one's beliefs. [latin cor heart]
courier n.  1 person employed to guide and assist tourists. 2 special messenger. [latin curro curs- run]
courtesy n.  (pl. -ies) courteous behaviour or act.  by courtesy of with the formal permission of. [french: related to *courteous]
coverage n.  1 area or amount covered. 2 amount of publicity received by an event etc.
cowboy n.  1 (fem. Cowgirl) person who tends cattle, esp. In the western us. 2 colloq. Unscrupulous or incompetent person in business.
crazy adj.  (-ier, -iest) 1 colloq. Insane or mad; foolish. 2 (usu. Foll. By about) colloq. Extremely enthusiastic. 3 (attrib.) (of paving etc.) Made up of irregular pieces.  crazily adv. Craziness n.
create v.  (-ting) 1 bring into existence; cause. 2 originate (actor creates a part). 3 invest with rank (created him a lord). 4 slang make a fuss. [latin creo]
creation n.  1 creating or being created. 2 a (usu. The creation) god's creating of the universe. B (usu. Creation) all created things, the universe. 3 product of the imagination, art, fashion, etc.
creative adj.  1 inventive, imaginative. 2 able to create.  creatively adv. Creativeness n. Creativity n.
creator n.  1 person who creates. 2 (as the creator) god.
creature n.  1 any living being, esp. An animal. 2 person of a specified kind (poor creature). 3 subservient person.  creaturely adj. [french from latin: related to *create]
creek n.  1 a inlet on a sea-coast. B short arm of a river. 2 esp. Us, austral., & nz tributary of a river; stream.  up the creek slang 1 in difficulties. 2 crazy. [old norse and dutch]
crime n.  1 a offence punishable by law. B illegal acts (resorted to crime). 2 evil act (crime against humanity). 3 colloq. Shameful act. [latin crimen]
crisis n.  (pl. Crises) 1 time of danger or great difficulty. 2 decisive moment; turning-point. [greek, = decision]
criterion n.  (pl. -ria) principle or standard of judgement. [greek, = means of judging]
critical adj.  1 a fault-finding, censorious. B expressing or involving criticism. 2 skilful at or engaged in criticism. 3 providing textual criticism (critical edition of milton). 4 a of or at a crisis; dangerous, risky (in a critical condition). B decisive, crucial (at the critical moment). 5 a math. & physics marking a transition from one state etc. To another (critical angle). B (of a nuclear reactor) maintaining a self-sustaining chain reaction.  critically adv. Criticalness n.
criticism n.  1 a fault-finding; censure. B critical remark etc. 2 a work of a critic. B analytical article, essay, etc.
crossing n.  1 place where things (esp. Roads) cross. 2 place for crossing a street etc. 3 journey across water.
crossword n.  (also crossword puzzle) printed grid of squares and blanks for vertical and horizontal words to be filled in from clues.
crucial adj.  1 decisive, critical. 2 very important.  crucially adv. [latin crux crucis cross]
cubic adj.  1 cube-shaped. 2 of three dimensions. 3 involving the cube (and no higher power) of a number (cubic equation).
cuisine n.  Style or method of cooking. [french]
cult n.  1 religious system, sect, etc., esp. Ritualistic. 2 a devotion to a person or thing (cult of aestheticism). B fashion. C (attrib.) Fashionable (cult film). [latin: related to *cultivate]
cultural adj.  Of or relating to intellectual or artistic matters, or to a specific culture.  culturally adv.
curious adj.  1 eager to learn; inquisitive. 2 strange, surprising, odd.  curiously adv. [latin: related to *cure]
currency n.  (pl. -ies) 1 a money in use in a country. B other commodity used as money. 2 being current; prevalence (e.g. Of words or ideas).
cursor n.  1 math. Etc. Transparent slide with a hairline, forming part of a slide-rule. 2 computing indicator on a vdu screen identifying esp. The position that the program will operate on with the next keystroke. [latin, = runner: related to *cursive]
custody n.  1 guardianship; protective care. 2 imprisonment.  take into custody arrest.  custodial adj. [latin custos -od- guard]
custom n.  1 a usual behaviour. B particular established way of behaving. 2 law established usage having the force of law. 3 regular business dealings or customers. 4 (in pl.; also treated as sing.) A duty on imports and exports. B official department administering this. C area at a port, frontier, etc., dealing with customs etc. [latin consuetudo]
customer n.  1 person who buys goods or services from a shop or business. 2 colloq. Person of a specified kind (awkward customer). [anglo-french: related to *custom]
customize v.  (also -ise) (-zing or -sing) make or modify to order; personalize.
cute adj.  Colloq. 1 esp. Us attractive, quaint. 2 clever, ingenious.  cutely adv. Cuteness n. [shortening of *acute]
cylinder n.  1 uniform solid or hollow body with straight sides and a circular section. 2 thing of this shape, e.g. A container for liquefied gas, a piston-chamber in an engine.  cylindrical adj. [latin cylindrus from greek]
dad n.  Colloq. Father. [imitative of a child's da da]
daddy n.  (pl. -ies) colloq. Father. [from *dad]
dairy n.  (pl. -ies) 1 place for processing, distributing, or selling milk and its products. 2 (attrib.) Of, containing, or used for, dairy products (and sometimes eggs) (dairy cow). [old english]
daisy n.  (pl. -ies) 1 small wild plant with white-petalled flowers. 2 plant with similar flowers. [old english, = day's eye]
dale n.  Valley. [old english]
dame n.  1 (dame) a title given to a woman holding any of several orders of chivalry. B woman holding this title. 2 comic middle-aged female pantomime character, usu. Played by a man. 3 us slang woman. [latin domina lady]
dan n.  1 grade of proficiency in judo. 2 holder of such a grade. [japanese]
dangerous adj.  Involving or causing danger.  dangerously adv.
database n.  Structured set of data held in a computer.
daughter n.  1 girl or woman in relation to her parent(s). 2 female descendant. 3 (foll. By of) female member of a family etc. 4 (foll. By of) female descendant or inheritor of a quality etc.  daughterly adj. [old english]
day n.  1 time between sunrise and sunset. 2 a 24 hours as a unit of time. B corresponding period on other planets (martian day). 3 daylight (clear as day). 4 time during which work is normally done (eight-hour day). 5 a (also pl.) Historical period (in those days). B (prec. By the) present time (issues of the day). 6 prime of a person's life (have had my day; in my day). 7 a future time (will do it one day). 8 date of a specific festival or event etc. (graduation day; christmas day). 9 battle or contest (win the day).  all in a day's work part of the normal routine. At the end of the day when all is said and done. Call it a day end a period of activity. Day after day without respite. Day and night all the time. Day by day gradually. Day in, day out routinely, constantly. Not one's day day when things go badly (for a person). One of these days soon. One of those days day when things go badly. That will be the day colloq. That will never happen. [old english]
deadline n.  Time-limit.
dealer n.  1 trader in (esp. Retail) goods (car-dealer; dealer in tobacco). 2 player dealing at cards. 3 jobber on the stock exchange.
death n.  1 irreversible ending of life; dying or being killed. 2 instance of this. 3 destruction; ending (death of our hopes). 4 being dead (eyes closed in death). 5 (usu. Death) personification of death, esp. As a skeleton. 6 lack of spiritual life.  at death's door close to death. Be the death of 1 cause the death of. 2 be annoying or harmful to. Catch one's death colloq. Catch a serious chill etc. Do to death 1 kill. 2 overdo. Fate worse than death colloq. Very unpleasant experience. Put to death kill or cause to be killed. To death to the utmost, extremely (bored to death).  deathlike adj. [old english]
debt n.  1 money etc. Owed (debt of gratitude). 2 state of owing (in debt; get into debt).  in a person's debt under obligation to a person. [latin debeo debit- owe]
debug v.  (-gg-) colloq. 1 remove concealed microphones from (a room etc.). 2 remove defects from (a computer program etc.). 3 = *delouse.
debut n.  (brit. Début) first public appearance (as a performer etc.). [french]
decade n.  1 period of ten years. 2 series or group of ten. [greek: related to *deca-]
december n.  Twelfth month of the year. [latin decem ten, originally 10th month of roman year]
decent adj.  1 a conforming with standards of decency. B avoiding obscenity. 2 respectable. 3 acceptable, good enough. 4 kind, obliging.  decently adv. [latin decet is fitting]
decide v.  (-ding) 1 (usu. Foll. By to, that, or on, about) resolve after consideration (decided to stay; decided quickly; weather decided me; decided on a blue hat). 2 resolve or settle (an issue etc.). 3 (usu. Foll. By between, for, against, in favour of, or that) give a judgement.  decidable adj. [latin caedo cut]
decided adj.  1 (usu. Attrib.) Definite, unquestionable (decided tilt). 2 positive, wilful, resolute.
decision n.  1 act or process of deciding. 2 resolution made after consideration (made my decision). 3 (often foll. By of) a settlement of a question. B formal judgement. 4 resoluteness. [latin: related to *decide]
declare v.  (-ring) 1 announce openly or formally (declare war). 2 pronounce (declared it invalid). 3 (usu. Foll. By that) assert emphatically. 4 acknowledge possession of (dutiable goods, income, etc.). 5 (as declared adj.) Admitting to be such (declared atheist). 6 (also absol.) Cricket close (an innings) voluntarily before the team is out. 7 (also absol.) Cards name (the trump suit).  declare oneself reveal one's intentions or identity.  declarative adj. Declaratory adj. Declarer n. [latin clarus clear]
dee n.  1 letter d. 2 thing shaped like this. [name of the letter d]
deer n.  (pl. Same) four-hoofed grazing animal, the male of which usu. Has antlers. [old english]
def adj.  Slang excellent. [perhaps from *definite or *definitive]
defence n.  (us defense) 1 defending, protection. 2 means of this. 3 (in pl.) Fortifications. 4 justification, vindication. 5 defendant's case or counsel in a lawsuit. 6 defending play or players.  defenceless adj. Defencelessly adv. Defencelessness n. [related to *defend]
defend v.  (also absol.) 1 (often foll. By against, from) resist an attack made on; protect. 2 uphold by argument. 3 conduct a defence in a lawsuit. 4 compete to retain (a title etc.) In a contest.  defender n. [latin defendo -fens-]
defendant n.  Person etc. Sued or accused in a lawcourt. [french: related to *defend]
defense n.  (brit. Defence) 1 defending, protection. 2 means of this. 3 (in pl.) Fortifications. 4 justification, vindication. 5 defendant's case or counsel in a lawsuit. 6 defending play or players.  defenceless adj. Defencelessly adv. Defencelessness n. [related to *defend]
defensive adj.  1 done or intended for defence. 2 over-reacting to criticism.  on the defensive 1 expecting criticism. 2 mil ready to defend.  defensively adv. Defensiveness n. [medieval latin: related to *defend]
deficit n.  1 amount by which a thing (esp. Money) is too small. 2 excess of liabilities over assets. [french from latin: related to *defect]
define v.  (-ning) 1 give the meaning of (a word etc.). 2 describe or explain the scope of (define one's position). 3 outline clearly (well-defined image). 4 mark out the boundary of.  definable adj. [latin finis end]
degree n.  1 stage in a scale, series, or process. 2 stage in intensity or amount (in some degree). 3 unit of measurement of an angle or arc. 4 unit in a scale of temperature, hardness, etc. 5 extent of burns. 6 academic rank conferred by a polytechnic, university, etc. 7 grade of crime (first-degree murder). 8 step in direct genealogical descent. 9 social rank.  by degrees gradually. [latin gradus step]
delete v.  (-ting) remove (a letter, word, etc.), esp. By striking out.  deletion n. [latin deleo]
delicious adj.  Highly enjoyable, esp. To taste or smell.  deliciously adv. [latin deliciae delights]
deliver v.  1 a distribute (letters, goods, etc.) To their destination(s). B (often foll. By to) hand over. 2 (often foll. By from) save, rescue, or set free. 3 a give birth to (delivered a girl). B assist at the birth of or in giving birth (delivered six babies). 4 utter (an opinion, speech, etc.). 5 (often foll. By up, over) abandon; resign (delivered his soul up). 6 launch or aim (a blow etc.).  be delivered of give birth to. Deliver the goods colloq. Carry out an undertaking. [latin liber free]
delivery n.  (pl. -ies) 1 delivering or being delivered. 2 regular distribution of letters etc. (two deliveries a day). 3 thing delivered. 4 childbirth. 5 deliverance. 6 style of throwing a ball, delivering a speech, etc. [anglo-french: related to *deliver]
dell n.  Small usu. Wooded valley. [old english]
delta n.  1 triangular area of earth, alluvium etc. At the mouth of a river, formed by its diverging outlets. 2 a fourth letter of the greek alphabet (d, d). B fourth-class mark for work etc. [greek]
demo n.  (pl. -s) colloq. = *demonstration 2, 3. [abbreviation]
democracy n.  (pl. -ies) 1 a government by the whole population, usu. Through elected representatives. B state so governed. 2 classless and tolerant society. [greek demokratia rule of the people]
democrat n.  1 advocate of democracy. 2 (democrat) (in the us) member of the democratic party.
den n.  1 wild animal's lair. 2 place of crime or vice (opium den). 3 small private room. [old english]
denial n.  1 denying the truth or existence of a thing. 2 refusal of a request or wish. 3 disavowal of a leader etc.
dense adj.  1 closely compacted; crowded together; thick. 2 colloq. Stupid.  densely adv. Denseness n. [latin densus]
density n.  (pl. -ies) 1 denseness of thing(s) or a substance. 2 physics degree of consistency measured by the quantity of mass per unit volume. 3 opacity of a photographic image.
dental adj.  1 of the teeth or dentistry. 2 (of a consonant) produced with the tongue-tip against the upper front teeth (as th) or the ridge of the teeth (as n, s, t). [latin dens dent- tooth]
deny v.  (-ies, -ied) 1 declare untrue or non-existent. 2 repudiate or disclaim. 3 (often foll. By to) withhold (a thing) from (denied him the satisfaction; denied it to me).  deny oneself be abstinent. [latin: related to *negate]
departure n.  1 departing. 2 (often foll. By from) deviation (from the truth, a standard, etc.). 3 (often attrib.) Departing of a train, aircraft, etc. (departure lounge). 4 new course of action or thought (driving is rather a departure for him).
depend v.  1 (often foll. By on, upon) be controlled or determined by (it depends on luck). 2 (foll. By on, upon) a need (depends on his car). B rely on (i'm depending on good weather). [latin pendeo hang]
depot n.  1 a storehouse, esp. For military supplies. B headquarters of a regiment. 2 a place where vehicles, e.g. Buses, are kept. B us railway or bus station. [french: related to *deposit]
depth n.  1 a deepness. B measurement from the top down, from the surface inwards, or from front to back. 2 difficulty; abstruseness. 3 a wisdom. B intensity of emotion etc. 4 intensity of colour, darkness, etc. 5 (usu. In pl.) A deep water or place; abyss. B low, depressed state. C lowest, central, or inmost part (depths of the country; depth of winter).  in depth thoroughly. Out of one's depth 1 in water over one's head. 2 engaged in a task etc. Too difficult for one. [related to *deep]
deputy n.  (pl. -ies) 1 person appointed to act for another (also attrib.: deputy manager). 2 parliamentary representative in some countries. [var. Of *depute]
derby n.  (pl. -ies) 1 a annual flat horse-race at epsom. B similar race elsewhere. 2 important sporting contest. 3 (derby) us bowler hat. [earl of derby]
describe v.  (-bing) 1 a state the characteristics, appearance, etc. Of. B (foll. By as) assert to be; call (described him as a liar). 2 a draw (esp. A geometrical figure). B move in (a specified way, esp. A curve) (described a parabola through the air). [latin scribo write]
deserve v.  (-ving) (often foll. By to + infin.) Be worthy of (a reward, punishment, etc.) (deserves a prize).  deservedly adv. [latin servio serve]
designer n.  1 person who designs e.g. Clothing, machines, theatre sets; draughtsman. 2 (attrib.) Bearing the label of a famous designer; prestigious.
designing adj.  Crafty, scheming.
desirable adj.  1 worth having or doing. 2 sexually attractive.  desirability n. Desirableness n. Desirably adv.
desk n.  1 piece of furniture with a surface for writing on, and often drawers. 2 counter in a hotel, bank, etc. 3 specialized section of a newspaper office (sports desk). 4 unit of two orchestral players sharing a stand. [latin: related to *discus]
desktop n.  1 working surface of a desk. 2 (attrib.) (esp. Of a microcomputer) for use on an ordinary desk.
desperate adj.  1 reckless from despair; violent and lawless. 2 a extremely dangerous, serious, or bad (desperate situation). B staking all on a small chance (desperate remedy). 3 (usu. Foll. By for) needing or desiring very much (desperate for recognition).  desperately adv. Desperateness n. Desperation n. [latin: related to *despair]
destiny n.  (pl. -ies) 1 a fate. B this regarded as a power. 2 particular person's fate etc. [french from latin]
destroy v.  1 pull or break down; demolish. 2 kill (esp. An animal). 3 make useless; spoil. 4 ruin, esp. Financially. 5 defeat. [latin struo struct- build]
detect v.  1 discover or perceive (detected a note of sarcasm). 2 (often foll. By in) discover (a criminal); solve (a crime).  detectable adj. Detector n. [latin tego tect- cover]
detection n.  1 detecting or being detected. 2 work of a detective.
detective n.  Person, esp. A police officer, investigating crimes.
determine v.  (-ning) 1 find out or establish precisely. 2 decide or settle; resolve. 3 be the decisive factor in regard to (demand determines supply).  be determined be resolved. [latin terminus boundary]
develop v.  (-p-) 1 a make or become bigger, fuller, more elaborate, etc. B bring or come to an active, visible, or mature state. 2 begin to exhibit or suffer from (developed a rattle). 3 a build on (land). B convert (land) to new use. 4 treat (photographic film etc.) To make the image visible.  developer n. [french]
device n.  1 thing made or adapted for a special purpose. 2 plan, scheme, or trick. 3 design, esp. Heraldic.  leave a person to his or her own devices leave a person to do as he or she wishes. [french: related to *devise]
devoted adj.  Loving; loyal.  devotedly adv.
diabetes n.  Disease in which sugar and starch are not properly absorbed by the body. [latin from greek]
diagnosis n.  (pl. Diagnoses) 1 a identification of a disease from its symptoms. B formal statement of this. 2 identification of the cause of a mechanical fault etc. [greek gignosko recognize]
diagram n.  Outline drawing, plan, or graphic representation of a machine, structure, process, etc.  diagrammatic adj. Diagrammatically adv. [greek: related to *-gram]
dialog n.  (brit. Dialogue) 1 a conversation. B this in written form. 2 discussion between people with different opinions. [greek lego speak]
dialogue n.  (us dialog) 1 a conversation. B this in written form. 2 discussion between people with different opinions. [greek lego speak]
diameter n.  1 straight line passing through the centre of a circle or sphere to its edges; length of this. 2 transverse measurement; width, thickness. 3 unit of linear magnifying power. [greek: related to *-meter]
diamond n.  1 very hard transparent precious stone of pure crystallized carbon. 2 rhombus. 3 a playing-card of the suit denoted by a red rhombus. B (in pl.) This suit. [greek: related to *adamant]
diary n.  (pl. -ies) 1 daily record of events or thoughts. 2 book for this or for noting future engagements. [latin dies day]
diesel n.  1 (in full diesel engine) internal-combustion engine in which heat produced by the compression of air in the cylinder ignites the fuel. 2 vehicle driven by a diesel engine. 3 fuel for a diesel engine. [diesel, name of an engineer]
differ v.  1 (often foll. By from) be unlike or distinguishable. 2 (often foll. By with) disagree. [latin differo, dilat- bring apart]
different adj.  1 (often foll. By from or to) unlike, of another nature. 2 distinct, separate. 3 unusual.  differently adv.
difficult adj.  1 a needing much effort or skill. B troublesome, perplexing. 2 (of a person) demanding. 3 problematic.
digit n.  1 any numeral from 0 to 9. 2 finger or toe. [latin, = finger, toe]
digital adj.  1 of digits. 2 (of a clock, watch, etc.) Giving a reading by displayed digits. 3 (of a computer) operating on data represented by a series of digits. 4 (of a recording) with sound-information represented by digits for more reliable transmission.  digitally adv. [latin: related to *digit]
dinner n.  1 main meal of the day, either at midday or in the evening. 2 (in full dinner-party) formal evening meal, esp. With guests. [french: related to *dine]
diploma n.  1 certificate of qualification awarded by a college etc. 2 document conferring an honour or privilege. [greek, = folded paper, from diplous double]
direction n.  1 directing; supervision. 2 (usu. In pl.) Order or instruction. 3 line along which, or point to or from which, a person or thing moves or looks. 4 tendency or scope of a theme, subject, etc.
director n.  1 person who directs or controls, esp. A member of the board of a company. 2 person who directs a film, play, etc.  directorial adj. Directorship n.
directory n.  (pl. -ies) book with a list of telephone subscribers, inhabitants of a district, or members of a profession etc. [latin: related to *direct]
dirt n.  1 unclean matter that soils. 2 a earth, soil. B earth, cinders, etc., used to make the surface for a road etc. (usu. Attrib.: dirt track). 3 foul or malicious words or talk. 4 excrement.  treat like dirt treat with contempt. [old norse drit excrement]
disable v.  (-ling) 1 deprive of an ability or function. 2 (often as disabled adj.) Physically incapacitate.  disablement n.
disagree v.  (-ees, -eed, -eeing) (often foll. By with) 1 hold a different opinion. 2 (of factors) not correspond. 3 upset (onions disagree with me).  disagreement n.
disaster n.  1 great or sudden misfortune; catastrophe. 2 colloq. Complete failure.  disastrous adj. Disastrously adv. [latin astrum star]
disc n.  (also disk esp. Us and in sense 4a) 1 a flat thin circular object. B round flat or apparently flat surface or mark. 2 layer of cartilage between vertebrae. 3 gramophone record. 4 a (usu. Disk; in full magnetic disk) flat circular computer storage device. B (in full optical disc) disc for data recorded and read by laser. [latin *discus]
disclose v.  (-sing) make known; expose.  disclosure n.
discover v.  1 a find out or become aware of, by intention or chance. B be first to find or find out (who discovered america?). 2 find and promote as a new performer.  discoverer n. [latin discooperio: related to *dis-, *cover]
discovery n.  (pl. -ies) 1 discovering or being discovered. 2 person or thing discovered.
discrete adj.  Individually distinct; separate, discontinuous.  discreteness n. [latin: related to *discern]
discuss v.  1 talk about (discussed their holidays). 2 talk or write about (a subject) in detail.  discussion n. [latin discutio -cuss- disperse]
disease n.  1 unhealthy condition of the body or mind, plants, society, etc. 2 particular kind of disease.  diseased adj. [french: related to *dis-, *ease]
disorder n.  1 lack of order; confusion. 2 public disturbance; riot. 3 ailment or disease.  disordered adj.
disposal n.  Disposing of, e.g. Waste.  at one's disposal available.
distant adj.  1 far away; at a specified distance (three miles distant). 2 remote in time, relationship, etc. (distant prospect; distant relation). 3 aloof. 4 abstracted (distant stare). 5 faint (distant memory).  distantly adv.
distinct adj.  1 (often foll. By from) not identical; separate; different. 2 clearly perceptible. 3 unmistakable, decided (distinct advantage).  distinctly adv. [latin: related to *distinguish]
district n.  1 (often attrib.) Area regarded as a geographical or administrative unit (the peak district; postal district; wine-growing district). 2 administrative division of a county etc. [latin: related to *distrain]
diverse adj.  Varied. [latin: related to *di-2, verto vers- turn]
diversity n.  Variety.
dividend n.  1 share of profits paid to shareholders or to winners in a football pool etc. 2 number to be divided. 3 benefit from an action. [anglo-french: related to *divide]
division n.  1 dividing or being divided. 2 dividing one number by another. 3 disagreement (division of opinion). 4 parl. Separation of members for counting votes. 5 one of two or more parts into which a thing is divided. 6 unit of administration, esp. A group of army brigades, regiments, or teams in a sporting league.  divisional adj.
doe n.  (pl. Same or -s) female fallow deer, reindeer, hare, or rabbit. [old english]
dollar n.  Chief monetary unit in the us, australia, etc. [low german daler from german taler]
dom n.  Title of some roman catholic dignitaries, and benedictine and carthusian monks. [latin dominus master]
domain n.  1 area under one rule; realm. 2 estate etc. Under one control. 3 sphere of control or influence. [french: related to *demesne]
donate v.  (-ting) give (money etc.), esp. To charity. [from *donation]
